metric,condition,n,mean,sd,median,iqr
MIST_ResponseTime,A,6,4.85485,1.9829781973082814,4.7014,2.5323749999999996
MIST_ResponseTime,B,6,4.6356,1.3512008999404939,4.6305,1.282775
MIST_ResponseTime,C,6,4.78975,1.3867212910314748,5.04715,1.8005000000000004
MIST_ResponseTime,D,6,4.625416666666667,0.8612513951609403,4.64875,1.4154999999999998
MIST_Timeouts,A,6,1.1666666666666667,1.4719601443879746,0.5,2.5
MIST_Timeouts,B,6,2.1666666666666665,2.786873995477131,1.0,3.0
MIST_Timeouts,C,6,1.8333333333333333,1.8348478592697182,1.5,3.25
MIST_Timeouts,D,6,1.6666666666666667,1.8618986725025255,1.5,3.0
Word_Recall_Correct,A,6,6.333333333333333,1.0327955589886444,6.0,0.75
Word_Recall_Correct,B,6,7.166666666666667,1.9407902170679516,6.5,2.5
Word_Recall_Correct,C,6,6.0,2.0,6.0,2.75
Word_Recall_Correct,D,6,7.5,1.8708286933869707,8.0,1.5
Bio_BVP_Mean,A,6,127.0307539979578,0.671252557842516,127.04259657676454,0.8384879732459467
Bio_BVP_Mean,B,6,126.87414002768111,0.8357553995789009,126.82259044176898,0.6002959372180499
Bio_BVP_Mean,C,5,127.57891987300846,0.6949539443375504,127.19525750596344,1.0694973527580913
Bio_BVP_Mean,D,6,127.49190439184629,0.4905718042047444,127.29695476736835,0.7395324150500358
Bio_HR_Mean,A,6,75.69855225939831,6.499817854875831,77.32965093938066,7.843855408090818
Bio_HR_Mean,B,6,76.23774870632998,8.04354934828576,74.9217012012354,7.970387437594027
Bio_HR_Mean,C,5,74.0623929412773,6.714321629426058,73.5775600347648,2.3274824906840195
Bio_HR_Mean,D,6,76.26472017039225,6.403648396991421,76.3090563062099,4.130396755734438
Bio_HRV_RMSSD,A,6,36.59281446625893,10.419881288704124,34.4778944582297,15.54817675384971
Bio_HRV_RMSSD,B,6,32.44797045962067,6.275280331606492,33.289644510285655,4.42191317714132
Bio_HRV_RMSSD,C,5,67.92782283166007,82.20592582530391,35.6051579511631,10.053663615651192
Bio_HRV_RMSSD,D,6,66.53230818401147,91.54484193457375,32.468160897612556,8.971173641538044
Bio_HRV_LFHF,A,6,2.422277147028513,1.7206205451295897,2.1980642001971984,2.8775350080874498
Bio_HRV_LFHF,B,6,0.9571914995348226,0.738952496233238,0.8551189939530396,1.0571782377003827
Bio_HRV_LFHF,C,5,0.6530015368994175,0.5036547912680273,0.4792838961919947,0.5437829244861551
Bio_HRV_LFHF,D,6,0.7632117522133761,0.3219226404976952,0.845339186003034,0.4925079438582487
Bio_EDA_Mean,A,6,6.288560747072805,4.5983925846955405,5.900804656169507,7.756396049441712
Bio_EDA_Mean,B,6,6.683008735759632,3.5177116851842545,5.736262133619439,5.880749339922351
Bio_EDA_Mean,C,5,5.0428606455914196,2.526345014725537,4.98706210165598,2.1439887608284787
Bio_EDA_Mean,D,6,5.494134881923602,2.5553471698194232,5.771938485057494,2.234506486025192
Bio_SCL_Mean,A,6,6.286604373389982,4.595273707943345,5.896154818982024,7.755944661044958
Bio_SCL_Mean,B,6,6.678377785878727,3.51011382917608,5.742092466002154,5.86852286254568
Bio_SCL_Mean,C,5,5.045421577139328,2.526540062265353,4.9866349241255765,2.156798635583181
Bio_SCL_Mean,D,6,5.489808918427779,2.5553148375631705,5.765445128352432,2.23730918757596
Bio_SCR_Freq,A,6,38.276053934395776,8.007008578441718,39.555860159974316,12.581728250658195
Bio_SCR_Freq,B,6,39.89096646861255,8.87771757446397,40.75732036277456,4.900877772674981
Bio_SCR_Freq,C,5,41.26568375283752,7.638775873375871,44.189852700491,7.998771424977022
Bio_SCR_Freq,D,6,41.76200222535107,7.40983378324455,44.16725857057093,10.111149607564094
Bio_EDA_MeanFreq,A,6,3.673852614366558,1.1481118941458284,4.070196999682999,0.7595675989228541
Bio_EDA_MeanFreq,B,6,2.7899560026548493,1.1100597894817599,2.826417834733819,0.9473733028796318
Bio_EDA_MeanFreq,C,5,3.700464587940842,0.8839820180574561,4.0302618061876165,1.6443979572403724
Bio_EDA_MeanFreq,D,6,3.6360835397669997,1.3714838470639,4.313188080374769,0.8919847031883146
Bio_EDA_PeakFreq,A,6,0.14923470069120973,0.08873190727082715,0.19211620012072134,0.12963689440395149
Bio_EDA_PeakFreq,B,6,0.15874037239590946,0.021881048259087016,0.15419589206972964,0.020432356262151535
Bio_EDA_PeakFreq,C,5,1.0889786539927002,2.1195327392625996,0.1527614571092831,0.008559259254339285
Bio_EDA_PeakFreq,D,6,0.9309757134241496,1.9387702983879154,0.15974842381035498,0.0919591801702879
Bio_EDA_Power005,A,6,14.114896177214229,31.062721128623078,2.1439217209964063,2.321082559548963
Bio_EDA_Power005,B,6,4.699149686386923,5.688041652252659,3.3025375720411025,6.671322697710924
Bio_EDA_Power005,C,5,1.5353162514501164,1.331367174047151,1.5994063993758312,2.272791368018181
Bio_EDA_Power005,D,6,6.572083411518435,9.422679269828931,1.0100823526211256,11.652298316956905
Bio_RESP_Rate,A,6,18.38855144325831,0.877533284800712,18.685888717623236,0.9149779117570276
Bio_RESP_Rate,B,6,18.08972649210889,1.22071596425214,18.044488142259866,0.9444670652697056
Bio_RESP_Rate,C,5,18.81405556017798,1.328077598503264,18.13919052319842,1.7335687828409014
Bio_RESP_Rate,D,6,19.163838723446403,2.2266150917595953,18.808102269479537,2.425899835081019
NASA_TLX_Score,A,6,9.608333333333333,1.5087798602402764,9.100000000000001,2.3000000000000025
NASA_TLX_Score,B,6,9.244444444444444,3.3232625647207104,9.141666666666666,3.8083333333333336
NASA_TLX_Score,C,6,10.147222222222222,2.7019214699227714,9.941666666666666,3.2666666666666675
NASA_TLX_Score,D,6,10.680555555555557,2.3931247974763656,10.525000000000002,2.1708333333333325
NASA_Mental,A,6,12.0,4.94368283772331,9.95,5.875
NASA_Mental,B,6,10.499999999999998,5.415902510200862,9.0,4.875
NASA_Mental,C,6,13.066666666666665,5.915629016991065,14.2,7.324999999999999
NASA_Mental,D,6,13.700000000000001,4.832804568777844,14.15,6.5
NASA_Frustration,A,6,10.233333333333333,5.369792050598111,10.899999999999999,8.225000000000001
NASA_Frustration,B,6,6.433333333333333,2.678556825357018,6.05,3.549999999999999
NASA_Frustration,C,6,10.15,6.412721731059286,10.65,8.149999999999999
NASA_Frustration,D,6,8.75,4.857880196134936,8.5,7.525000000000001
Force_Total_Mean,A,0,,,,
Force_Total_Mean,B,0,,,,
Force_Total_Mean,C,6,0.4221769216035418,0.5196017374984566,0.26903180883305255,0.49512631663271206
Force_Total_Mean,D,6,0.7478229744506694,1.048086318399022,0.21738326703445243,1.1056754456228248
Force_Total_Max,A,0,,,,
Force_Total_Max,B,0,,,,
Force_Total_Max,C,6,1.5699940560517736,1.4399566435305715,0.7729254687785132,2.1210041035722584
Force_Total_Max,D,6,2.4086798672184453,1.8681310330669638,2.449687127633427,2.4492997531059606
Avatar_Embodiment_Mean,A,0,,,,
Avatar_Embodiment_Mean,B,0,,,,
Avatar_Embodiment_Mean,C,6,-0.9142857142857143,0.8351707634260388,-1.2,0.8392857142857144
Avatar_Embodiment_Mean,D,6,-1.001293297345929,1.0756703234924359,-0.9775641025641025,1.7015013495276656
Avatar_Embodiment_N,A,0,,,,
Avatar_Embodiment_N,B,0,,,,
Avatar_Embodiment_N,C,6,17.166666666666668,5.231315959361149,20.0,3.0
Avatar_Embodiment_N,D,6,16.833333333333332,3.3714487489307423,19.0,4.5
Avatar_Q1_Ownership,A,0,,,,
Avatar_Q1_Ownership,B,0,,,,
Avatar_Q1_Ownership,C,6,-2.0,1.5491933384829668,-3.0,2.25
Avatar_Q1_Ownership,D,6,-2.0,1.2649110640673518,-2.5,1.75
Avatar_Q6_Control,A,0,,,,
Avatar_Q6_Control,B,0,,,,
Avatar_Q6_Control,C,6,-1.6666666666666667,1.505545305418162,-2.0,2.75
Avatar_Q6_Control,D,6,-1.8333333333333333,1.3291601358251257,-2.0,2.0
Avatar_Q9_SpontaneousMove,A,0,,,,
Avatar_Q9_SpontaneousMove,B,0,,,,
Avatar_Q9_SpontaneousMove,C,5,-1.0,2.1213203435596424,-1.0,3.0
Avatar_Q9_SpontaneousMove,D,6,-1.0,2.280350850198276,-1.5,2.5
Avatar_Q25_HarmConcern,A,0,,,,
Avatar_Q25_HarmConcern,B,0,,,,
Avatar_Q25_HarmConcern,C,6,-0.8333333333333334,2.401388487243717,-1.5,3.25
Avatar_Q25_HarmConcern,D,6,-1.0,2.5298221281347035,-2.0,3.5
