metric,n_complete_subjects,chi2,p,kendalls_w,conditions
MIST_ResponseTime,6,1.4000000000000057,0.7055347312040898,0.0777777777777781,"A,B,C,D"
MIST_Timeouts,6,3.363636363636379,0.3388834009324022,0.1868686868686877,"A,B,C,D"
Word_Recall_Correct,6,5.705882352941186,0.1268302138199791,0.3169934640522881,"A,B,C,D"
NASA_TLX_Score,6,4.016949152542376,0.25963973443159183,0.2231638418079098,"A,B,C,D"
NASA_Mental,6,6.050847457627122,0.10916242211478228,0.33615819209039566,"A,B,C,D"
NASA_Frustration,6,1.0,0.8012519569012009,0.05555555555555555,"A,B,C,D"
