Metric,N,Friedman_Chi2,p_value,Significance,Kendalls_W,W_Interpretation
Word_Recall_Correct,6,5.705882352941186,0.1268302138199791,ns,0.3169934640522881,Moderate
MIST_ResponseTime,6,1.4000000000000057,0.7055347312040898,ns,0.0777777777777781,Very Weak
Bio_HR_Mean,5,4.200000000000003,0.24066188520961504,ns,0.2800000000000002,Weak
Bio_HRV_RMSSD,5,2.039999999999992,0.5641461991984618,ns,0.13599999999999948,Weak
Bio_HRV_LFHF,5,4.920000000000002,0.17774974398191584,ns,0.3280000000000001,Moderate
Bio_SCL_Mean,5,0.5999999999999943,0.8964323733419127,ns,0.03999999999999962,Very Weak
Bio_SCR_Freq,5,0.5999999999999943,0.8964323733419127,ns,0.03999999999999962,Very Weak
Bio_EDA_MeanFreq,5,5.159999999999997,0.16044913603535005,ns,0.34399999999999975,Moderate
Bio_EDA_Power005,5,0.5999999999999943,0.8964323733419127,ns,0.03999999999999962,Very Weak
Bio_RESP_Rate,5,2.280000000000001,0.5163632002016325,ns,0.15200000000000008,Weak
NASA_TLX_Score,6,4.016949152542376,0.25963973443159183,ns,0.2231638418079098,Weak
NASA_Mental,6,6.050847457627122,0.10916242211478228,ns,0.33615819209039566,Moderate
NASA_Frustration,6,1.0,0.8012519569012009,ns,0.05555555555555555,Very Weak
